timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/17 12:41:18.173, 30.36 W, 78, 32 %, 1500 MHz
2026/06/17 12:41:19.186, 27.45 W, 78, 27 %, 1500 MHz
2026/06/17 12:41:20.201, 30.82 W, 78, 32 %, 1500 MHz
2026/06/17 12:41:21.215, 31.33 W, 79, 35 %, 1500 MHz
2026/06/17 12:41:22.229, 30.28 W, 78, 34 %, 1500 MHz
2026/06/17 12:41:23.244, 31.15 W, 78, 35 %, 1500 MHz
2026/06/17 12:41:24.249, 30.99 W, 79, 33 %, 1500 MHz
2026/06/17 12:41:25.265, 29.05 W, 78, 30 %, 1500 MHz
2026/06/17 12:41:26.282, 29.64 W, 78, 30 %, 1500 MHz
2026/06/17 12:41:27.296, 30.94 W, 78, 31 %, 1500 MHz
2026/06/17 12:41:28.308, 30.19 W, 78, 34 %, 1500 MHz
2026/06/17 12:41:29.323, 32.24 W, 78, 35 %, 1500 MHz
2026/06/17 12:41:30.337, 31.83 W, 78, 34 %, 1500 MHz
2026/06/17 12:41:31.351, 31.27 W, 78, 31 %, 1500 MHz
2026/06/17 12:41:32.362, 31.30 W, 78, 33 %, 1500 MHz
2026/06/17 12:41:33.376, 31.16 W, 78, 34 %, 1500 MHz
2026/06/17 12:41:34.390, 31.58 W, 79, 32 %, 1500 MHz
2026/06/17 12:41:35.403, 31.74 W, 78, 35 %, 1500 MHz
2026/06/17 12:41:36.419, 29.10 W, 79, 34 %, 1500 MHz
2026/06/17 12:41:37.432, 31.61 W, 79, 35 %, 1500 MHz
2026/06/17 12:41:38.445, 32.14 W, 79, 36 %, 1500 MHz
2026/06/17 12:41:39.461, 31.93 W, 79, 36 %, 1500 MHz
2026/06/17 12:41:40.473, 31.08 W, 78, 30 %, 1500 MHz
2026/06/17 12:41:41.490, 31.10 W, 79, 32 %, 1500 MHz
2026/06/17 12:41:42.496, 30.87 W, 78, 32 %, 1500 MHz
2026/06/17 12:41:43.506, 31.00 W, 78, 32 %, 1500 MHz
2026/06/17 12:41:44.514, 31.29 W, 79, 33 %, 1500 MHz
2026/06/17 12:41:45.524, 31.38 W, 79, 36 %, 1500 MHz
2026/06/17 12:41:46.528, 30.20 W, 78, 34 %, 1500 MHz
2026/06/17 12:41:47.541, 31.48 W, 79, 35 %, 1500 MHz
2026/06/17 12:41:48.550, 31.40 W, 79, 35 %, 1500 MHz
2026/06/17 12:41:49.555, 31.62 W, 79, 36 %, 1500 MHz
2026/06/17 12:41:50.569, 32.47 W, 79, 38 %, 1500 MHz
2026/06/17 12:41:51.585, 33.06 W, 79, 39 %, 1500 MHz
2026/06/17 12:41:52.600, 33.23 W, 79, 38 %, 1515 MHz
2026/06/17 12:41:53.616, 33.08 W, 79, 28 %, 1552 MHz
2026/06/17 12:41:54.633, 33.32 W, 79, 36 %, 1552 MHz
2026/06/17 12:41:55.647, 32.27 W, 79, 37 %, 1500 MHz
2026/06/17 12:41:56.665, 31.15 W, 79, 34 %, 1500 MHz
2026/06/17 12:41:57.675, 30.90 W, 79, 33 %, 1500 MHz
2026/06/17 12:41:58.692, 30.00 W, 78, 33 %, 1500 MHz
2026/06/17 12:41:59.706, 30.07 W, 79, 32 %, 1500 MHz
2026/06/17 12:42:00.721, 29.51 W, 79, 29 %, 1500 MHz
2026/06/17 12:42:01.737, 30.85 W, 79, 34 %, 1500 MHz
2026/06/17 12:42:02.750, 30.40 W, 79, 32 %, 1500 MHz
2026/06/17 12:42:03.760, 30.92 W, 79, 25 %, 1500 MHz
2026/06/17 12:42:04.776, 31.01 W, 79, 33 %, 1500 MHz
2026/06/17 12:42:05.793, 31.34 W, 79, 33 %, 1500 MHz
2026/06/17 12:42:06.797, 30.25 W, 79, 31 %, 1500 MHz
2026/06/17 12:42:07.814, 32.04 W, 79, 37 %, 1500 MHz
2026/06/17 12:42:08.824, 32.09 W, 79, 36 %, 1500 MHz
2026/06/17 12:42:09.841, 30.45 W, 79, 32 %, 1500 MHz
2026/06/17 12:42:10.853, 32.65 W, 79, 37 %, 1500 MHz
2026/06/17 12:42:11.870, 31.69 W, 79, 32 %, 1500 MHz
2026/06/17 12:42:12.886, 31.27 W, 79, 32 %, 1500 MHz
2026/06/17 12:42:13.898, 30.81 W, 79, 30 %, 1500 MHz
2026/06/17 12:42:14.912, 30.96 W, 78, 34 %, 1500 MHz
2026/06/17 12:42:15.928, 30.47 W, 79, 32 %, 1500 MHz
2026/06/17 12:42:16.944, 29.49 W, 79, 29 %, 1500 MHz
2026/06/17 12:42:17.955, 29.86 W, 78, 24 %, 1500 MHz
2026/06/17 12:42:18.973, 30.63 W, 79, 31 %, 1500 MHz
2026/06/17 12:42:19.982, 31.97 W, 79, 34 %, 1500 MHz
