timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], clocks.current.sm [MHz]
2026/06/18 15:57:15.981, 31.42 W, 72, 37 %, 1545 MHz
2026/06/18 15:57:16.999, 30.89 W, 72, 35 %, 1500 MHz
2026/06/18 15:57:18.014, 29.86 W, 71, 36 %, 1500 MHz
2026/06/18 15:57:19.028, 30.49 W, 72, 37 %, 1500 MHz
2026/06/18 15:57:20.041, 31.03 W, 72, 38 %, 1500 MHz
2026/06/18 15:57:21.055, 30.25 W, 72, 26 %, 1500 MHz
2026/06/18 15:57:22.065, 31.20 W, 72, 39 %, 1500 MHz
2026/06/18 15:57:23.078, 31.23 W, 72, 39 %, 1500 MHz
2026/06/18 15:57:24.088, 31.76 W, 72, 40 %, 1515 MHz
2026/06/18 15:57:25.099, 33.26 W, 73, 38 %, 1597 MHz
2026/06/18 15:57:26.120, 36.45 W, 73, 39 %, 1687 MHz
2026/06/18 15:57:27.131, 35.53 W, 72, 34 %, 1687 MHz
2026/06/18 15:57:28.143, 32.70 W, 72, 37 %, 1537 MHz
2026/06/18 15:57:29.153, 31.87 W, 72, 40 %, 1507 MHz
2026/06/18 15:57:30.165, 30.39 W, 72, 34 %, 1507 MHz
2026/06/18 15:57:31.170, 31.81 W, 72, 40 %, 1522 MHz
2026/06/18 15:57:32.180, 32.36 W, 72, 40 %, 1522 MHz
2026/06/18 15:57:33.191, 30.04 W, 72, 34 %, 1522 MHz
2026/06/18 15:57:34.209, 31.78 W, 72, 41 %, 1522 MHz
2026/06/18 15:57:35.220, 32.06 W, 72, 40 %, 1522 MHz
2026/06/18 15:57:36.235, 32.14 W, 73, 41 %, 1545 MHz
2026/06/18 15:57:37.245, 33.49 W, 72, 41 %, 1597 MHz
2026/06/18 15:57:38.252, 35.02 W, 73, 39 %, 1612 MHz
2026/06/18 15:57:39.264, 34.01 W, 72, 35 %, 1552 MHz
2026/06/18 15:57:40.276, 33.65 W, 72, 41 %, 1635 MHz
2026/06/18 15:57:41.290, 36.26 W, 73, 40 %, 1657 MHz
2026/06/18 15:57:42.304, 36.98 W, 73, 35 %, 1657 MHz
2026/06/18 15:57:43.319, 37.07 W, 73, 40 %, 1687 MHz
2026/06/18 15:57:44.332, 39.40 W, 74, 40 %, 1717 MHz
2026/06/18 15:57:45.343, 39.92 W, 74, 42 %, 1807 MHz
2026/06/18 15:57:46.349, 50.10 W, 76, 40 %, 1912 MHz
2026/06/18 15:57:47.366, 48.37 W, 76, 39 %, 1897 MHz
2026/06/18 15:57:48.383, 49.17 W, 75, 37 %, 1867 MHz
2026/06/18 15:57:49.398, 46.41 W, 75, 40 %, 1830 MHz
2026/06/18 15:57:50.418, 44.23 W, 74, 36 %, 1800 MHz
2026/06/18 15:57:51.422, 39.38 W, 74, 34 %, 1710 MHz
2026/06/18 15:57:52.434, 33.21 W, 73, 24 %, 1567 MHz
2026/06/18 15:57:53.449, 31.71 W, 73, 38 %, 1500 MHz
2026/06/18 15:57:54.462, 29.79 W, 72, 34 %, 1500 MHz
2026/06/18 15:57:55.478, 31.22 W, 73, 38 %, 1500 MHz
2026/06/18 15:57:56.495, 32.22 W, 72, 37 %, 1507 MHz
2026/06/18 15:57:57.514, 31.15 W, 72, 37 %, 1507 MHz
2026/06/18 15:57:58.524, 30.78 W, 72, 35 %, 1500 MHz
2026/06/18 15:57:59.540, 30.45 W, 72, 36 %, 1500 MHz
2026/06/18 15:58:00.549, 29.21 W, 72, 36 %, 1500 MHz
2026/06/18 15:58:01.562, 30.67 W, 72, 37 %, 1500 MHz
2026/06/18 15:58:02.565, 30.79 W, 72, 37 %, 1500 MHz
2026/06/18 15:58:03.578, 30.58 W, 72, 36 %, 1500 MHz
2026/06/18 15:58:04.594, 32.05 W, 72, 40 %, 1537 MHz
2026/06/18 15:58:05.605, 34.74 W, 73, 40 %, 1657 MHz
2026/06/18 15:58:06.618, 39.27 W, 73, 37 %, 1747 MHz
2026/06/18 15:58:07.633, 38.36 W, 72, 36 %, 1747 MHz
2026/06/18 15:58:08.649, 33.53 W, 72, 37 %, 1552 MHz
2026/06/18 15:58:09.663, 31.92 W, 72, 40 %, 1515 MHz
2026/06/18 15:58:10.676, 31.25 W, 72, 35 %, 1515 MHz
2026/06/18 15:58:11.686, 30.79 W, 72, 37 %, 1500 MHz
2026/06/18 15:58:12.698, 30.22 W, 71, 38 %, 1500 MHz
2026/06/18 15:58:13.710, 31.13 W, 71, 40 %, 1500 MHz
2026/06/18 15:58:14.731, 31.46 W, 71, 39 %, 1530 MHz
2026/06/18 15:58:15.747, 32.45 W, 72, 39 %, 1560 MHz
2026/06/18 15:58:16.761, 32.28 W, 72, 33 %, 1575 MHz
2026/06/18 15:58:17.765, 32.54 W, 71, 39 %, 1545 MHz
2026/06/18 15:58:18.781, 32.19 W, 71, 38 %, 1522 MHz
2026/06/18 15:58:19.794, 36.38 W, 72, 38 %, 1680 MHz
2026/06/18 15:58:20.811, 35.72 W, 72, 36 %, 1680 MHz
2026/06/18 15:58:21.823, 36.24 W, 72, 36 %, 1687 MHz
2026/06/18 15:58:22.830, 35.23 W, 72, 35 %, 1687 MHz
2026/06/18 15:58:23.840, 31.99 W, 71, 39 %, 1507 MHz
2026/06/18 15:58:24.856, 33.09 W, 72, 39 %, 1627 MHz
2026/06/18 15:58:25.870, 34.47 W, 72, 39 %, 1635 MHz
2026/06/18 15:58:26.884, 33.57 W, 71, 37 %, 1545 MHz
2026/06/18 15:58:27.894, 31.67 W, 71, 38 %, 1522 MHz
2026/06/18 15:58:28.906, 30.90 W, 71, 39 %, 1500 MHz
2026/06/18 15:58:29.923, 30.50 W, 71, 39 %, 1500 MHz
2026/06/18 15:58:30.933, 33.93 W, 72, 38 %, 1650 MHz
2026/06/18 15:58:31.947, 35.09 W, 72, 38 %, 1650 MHz
2026/06/18 15:58:32.961, 31.95 W, 71, 26 %, 1500 MHz
2026/06/18 15:58:33.975, 30.09 W, 71, 36 %, 1500 MHz
2026/06/18 15:58:34.992, 31.09 W, 71, 37 %, 1500 MHz
2026/06/18 15:58:36.004, 31.62 W, 71, 40 %, 1515 MHz
2026/06/18 15:58:37.009, 35.23 W, 72, 41 %, 1747 MHz
2026/06/18 15:58:38.015, 44.21 W, 74, 44 %, 1927 MHz
2026/06/18 15:58:39.027, 52.70 W, 75, 46 %, 1920 MHz
2026/06/18 15:58:40.036, 54.10 W, 75, 43 %, 1927 MHz
2026/06/18 15:58:41.052, 53.38 W, 75, 41 %, 1927 MHz
2026/06/18 15:58:42.067, 51.08 W, 75, 40 %, 1927 MHz
2026/06/18 15:58:43.079, 49.82 W, 75, 27 %, 1927 MHz
2026/06/18 15:58:44.094, 49.38 W, 75, 38 %, 1927 MHz
2026/06/18 15:58:45.109, 42.72 W, 73, 35 %, 1732 MHz
2026/06/18 15:58:46.126, 39.22 W, 74, 43 %, 1800 MHz
2026/06/18 15:58:47.143, 45.33 W, 75, 41 %, 1860 MHz
2026/06/18 15:58:48.154, 49.69 W, 75, 42 %, 1927 MHz
2026/06/18 15:58:49.170, 52.86 W, 76, 41 %, 1927 MHz
2026/06/18 15:58:50.183, 53.12 W, 76, 42 %, 1927 MHz
2026/06/18 15:58:51.196, 52.23 W, 76, 43 %, 1927 MHz
2026/06/18 15:58:52.209, 52.21 W, 76, 42 %, 1912 MHz
2026/06/18 15:58:53.224, 52.75 W, 76, 40 %, 1912 MHz
2026/06/18 15:58:54.240, 51.92 W, 76, 41 %, 1890 MHz
2026/06/18 15:58:55.244, 52.09 W, 76, 40 %, 1897 MHz
2026/06/18 15:58:56.255, 52.06 W, 77, 39 %, 1912 MHz
2026/06/18 15:58:57.266, 51.20 W, 76, 35 %, 1912 MHz
2026/06/18 15:58:58.283, 50.62 W, 76, 39 %, 1875 MHz
